time_start,time_end,label,score
0:10:35,0:10:40,situp,0.28331336
0:10:40,0:10:45,running on treadmill,0.58984613
0:10:45,0:10:50,situp,0.43036246
0:10:50,0:10:55,squat,0.39691958
0:10:55,0:11:00,pull ups,0.33320814
0:11:00,0:11:05,situp,0.7315627
0:11:05,0:11:10,situp,0.9990349
0:11:10,0:11:15,squat,0.41041744
0:11:15,0:11:20,deadlifting,0.3431299
0:11:20,0:11:25,situp,0.90497714
0:11:25,0:11:30,situp,0.9392192
0:11:30,0:11:35,pull ups,0.3855153
0:11:35,0:11:40,pull ups,0.440126
0:11:40,0:11:45,front raises,0.5844787
0:11:45,0:11:50,front raises,0.94931287
0:11:50,0:11:55,front raises,0.99043953
0:11:55,0:12:00,front raises,0.9983612
0:12:00,0:12:05,front raises,0.997274
0:12:05,0:12:10,front raises,0.61735934
0:12:10,0:12:15,front raises,0.8235446
0:12:15,0:12:20,front raises,0.7204032
0:12:20,0:12:25,front raises,0.9966366
0:12:25,0:12:30,front raises,0.97889346
0:12:30,0:12:35,front raises,0.99395174
0:12:35,0:12:40,pull ups,0.48851162
0:12:40,0:12:45,pull ups,0.70473933
0:12:45,0:12:50,running on treadmill,0.43714195
0:12:50,0:12:55,running on treadmill,0.6154743
0:12:55,0:13:00,pull ups,0.72439384
0:13:00,0:13:05,front raises,0.97717494
0:13:05,0:13:10,front raises,0.9329544
0:13:10,0:13:15,bench pressing,0.43944696
0:13:15,0:13:20,bench pressing,0.4004572
0:13:20,0:13:25,running on treadmill,0.4323391
0:13:25,0:13:30,running on treadmill,0.6047599
0:13:30,0:13:35,bench pressing,0.61378586
0:13:35,0:13:40,bench pressing,0.70763093
0:13:40,0:13:45,running on treadmill,0.6222778
0:13:45,0:13:50,bench pressing,0.65301913
0:13:50,0:13:55,exersising arm,0.75711524
0:13:55,0:14:00,exersising arm,0.7801444
0:14:00,0:14:05,bench pressing,0.5502482
0:14:05,0:14:10,exersising arm,0.38842884
0:14:10,0:14:15,exersising arm,0.9515721
0:14:15,0:14:20,exersising arm,0.5770799
0:14:20,0:14:25,exersising arm,0.8782718
0:14:25,0:14:30,exersising arm,0.73246986
0:14:30,0:14:35,exersising arm,0.5167339
0:14:35,0:14:40,exersising arm,0.9722004
0:14:40,0:14:45,exersising arm,0.89722013
0:14:45,0:14:50,exersising arm,0.65852505
0:14:50,0:14:55,exersising arm,0.9575614
0:14:55,0:15:00,exersising arm,0.982646
0:15:00,0:15:05,exersising arm,0.4838195
0:15:05,0:15:10,bench pressing,0.53238255
0:15:10,0:15:15,pull ups,0.23148176
